"prop.area"	"undisturbed.eigen"	"eigen.patch.rm"	"eigen.islands"	"eigen.quality"	"num.patch.rem"	"alpha.count"	"bunch.of.repeats"	"landscape.id"	"mean.nn"	"var.nn"
"2"	"0.990846789795908"	"1.87006342661215"	"1.87006342661215"	"1.82370905195152"	"1.83598593559924"	"1"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"3"	"0.979659333868173"	"1.87006342661215"	"1.83861640974216"	"1.76812632119428"	"1.79476048008887"	"2"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"4"	"0.975962775194457"	"1.87006342661215"	"1.8700634265597"	"1.75001797587781"	"1.78124165717687"	"3"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"5"	"0.95662211788679"	"1.87006342661215"	"1.86865345102352"	"1.65733128077934"	"1.71134343225852"	"4"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"6"	"0.900485183048449"	"1.87006342661215"	"1.87006342660976"	"1.40730168667926"	"1.51638499730702"	"5"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"7"	"0.967899354232122"	"1.87006342661215"	"1.87006342661215"	"1.71095737584569"	"1.7519299489557"	"6"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"8"	"0.947224532056979"	"1.87006342661215"	"1.87006342661215"	"1.61352716796029"	"1.677885075957"	"7"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"9"	"0.950618511783645"	"1.87006342661215"	"1.87006342661215"	"1.62925513146335"	"1.68993060482748"	"8"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"10"	"0.893066551154022"	"1.87006342661215"	"1.86513849242212"	"1.37630808094276"	"1.49150249418518"	"9"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"11"	"0.894039035397743"	"1.87006342661215"	"1.8700634000505"	"1.38034434733801"	"1.49475253730267"	"10"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"12"	"0.873952954129327"	"1.87006342661215"	"1.87006342660977"	"1.29858906576769"	"1.42834278732963"	"11"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"13"	"0.881329197365168"	"1.87006342661215"	"1.2790833321266"	"1.32822049186017"	"1.4525552242799"	"12"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"14"	"0.857270397258817"	"1.87006342661215"	"1.87006342660964"	"1.23322573240198"	"1.37433305162272"	"13"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"15"	"0.855569720048549"	"1.87006342661215"	"1.2450757615076"	"1.22668981651447"	"1.36888557901688"	"14"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"16"	"0.845908788832099"	"1.87006342661215"	"1.86865347761403"	"1.19000413577867"	"1.33814572542682"	"15"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"17"	"0.866116705556426"	"1.87006342661215"	"1.81798309650456"	"1.2676023675714"	"1.402843316084"	"16"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"18"	"0.80641623391036"	"1.87006342661215"	"1.87006342661182"	"1.04770603279511"	"1.21611560290639"	"17"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"19"	"0.844860791747565"	"1.87006342661215"	"1.83861640968783"	"1.18606957124918"	"1.33483211966454"	"18"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"20"	"0.75740419718339"	"1.87006342661215"	"1.87006342661215"	"0.887571468756466"	"1.07278267587483"	"19"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"21"	"0.700264920623927"	"1.87006342661215"	"1.25728082823548"	"0.722541062275028"	"0.91702479600416"	"20"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"22"	"0.820149566712871"	"1.87006342661215"	"1.83355589045083"	"1.0958119909276"	"1.25788939664061"	"21"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"23"	"0.730028005410605"	"1.87006342661215"	"1.8686534510235"	"0.805688306521682"	"0.996633264473723"	"22"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"24"	"0.771068192343737"	"1.87006342661215"	"1.27319829113412"	"0.930438281688965"	"1.11183902409524"	"23"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"25"	"0.732987122778036"	"1.87006342661215"	"1.8651384924199"	"0.814285964016229"	"1.00472920565991"	"24"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"26"	"0.824342924025445"	"1.87006342661215"	"1.8513830143756"	"1.11079088411441"	"1.27078525045054"	"25"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"27"	"0.784363229012707"	"1.87006342661215"	"1.2790833326996"	"0.973453966078663"	"1.15051103398121"	"26"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"28"	"0.756608742073375"	"1.87006342661215"	"1.41260939944711"	"0.885117391614406"	"1.07053050364277"	"27"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"29"	"0.597751330872624"	"1.87006342661215"	"1.49378133859053"	"0.479804244709858"	"0.66818610490772"	"28"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"30"	"0.774383416554583"	"1.87006342661215"	"1.20309519170016"	"0.941043135077806"	"1.12142032882693"	"29"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
"31"	"0.640358387517397"	"1.87006342661215"	"1.86513855800105"	"0.572808042981392"	"0.766836085192009"	"30"	"1"	"1"	"Nov 12 18 58 25"	"0"	"0"
